ObjID,a,e,inc,node,argPeri,ma,epochMJD_TDB,FORMAT
1932 CA,2.6660292,0.1414367,12.15528,51.62644,93.86282,47.26817,60400.0,KEP
1932 CB,2.6628477999999998,0.23021629999999998,1.65738,72.97076,36.73464,94.78949,60400.0,KEP
1932 CD,2.8649904,0.1758643,10.16409,323.66546,23.57496,129.47303,60400.0,KEP
1932 EB1,3.1901174,0.10001439999999999,23.51291,322.15731,320.58855,344.98815,60400.0,KEP
1932 HL,2.7345942,0.1908308,10.14306,349.71595,54.2182,300.76059,60400.0,KEP
1932 JE,3.0971962,0.0455201,13.26459,245.52567,51.67272,244.62403,60400.0,KEP
1932 KE,2.3439325,0.0969157,8.70308,276.95311,261.58785,274.56257,60400.0,KEP
1932 KF,2.8912875,0.0818863,2.89583,151.69892,206.06276,140.19241,60400.0,KEP
1932 OA,2.6198872,0.31042379999999997,15.9959,290.50033,54.81167,187.5138,60400.0,KEP
1932 QA,3.128629,0.1758834,1.7817100000000001,161.68801,138.47765,198.50093,60400.0,KEP
1932 RO,2.7207778,0.0139349,9.14073,79.21729,339.21576,74.74072,60400.0,KEP
1932 VB,2.2244532,0.07626379999999999,4.87247,258.89054,224.2684,142.29296,60400.0,KEP
1933 BD,2.5479276,0.2760457,15.17217,291.92806,217.58953,110.02585,60400.0,KEP
1933 BE,2.7183146,0.1560672,6.05122,140.60532,217.10138,224.48055,60400.0,KEP
1933 DG,2.6959641,0.2060013,33.82132,140.87226,63.55612,178.19362,60400.0,KEP
1931 TV1,3.1712901,0.20445349999999998,1.34106,39.7999,355.19397,137.719,60400.0,KEP
1932 JA,3.1438266,0.0265258,7.07169,287.61537,241.58461,247.59176,60400.0,KEP
1932 NC,3.1422481,0.1742665,8.55886,237.51024,132.60367,82.1404,60400.0,KEP
1932 PD,3.8916584,0.07929309999999999,4.17612,236.87073,102.33527,311.7934,60400.0,KEP
1932 PE,2.488639,0.0828814,3.92814,213.88516,20.52612,215.93308,60400.0,KEP
1932 PG,3.1852444,0.0454392,7.70119,299.55213,77.64295,1.2323600000000001,60400.0,KEP
1933 BT,3.1110665,0.1247032,2.38078,74.96583,151.39684,165.42531,60400.0,KEP
1933 BW,2.6130747,0.0371677,8.01658,304.50803,20.62791,8.55275,60400.0,KEP
1933 FB,3.1372381,0.17838,2.42682,67.27609,103.92299,123.8698,60400.0,KEP
1933 FE,3.0008671,0.0038531999999999998,13.1325,124.2558,169.54096,58.6071,60400.0,KEP
1933 FF,2.6661314,0.18706409999999998,29.25254,158.44614,286.88938,37.91579,60400.0,KEP
1933 HG,2.8628717,0.15693459999999998,24.97507,234.94815,31.32426,240.35439,60400.0,KEP
A911 UR,3.0259846,0.0693898,9.50424,314.21144,112.42991,96.52512,60400.0,KEP
1927 BD,3.3622024,0.050474599999999994,17.16779,320.52964,302.00802,123.39644,60400.0,KEP
1930 HD,2.4687643,0.1786008,4.78079,24.33558,268.1051,26.54619,60400.0,KEP
1930 HJ,3.98373,0.1037148,4.42376,350.97955,118.75227,96.44793,60400.0,KEP
1930 SH,3.9062451,0.0968023,2.7578300000000002,134.69533,18.96535,223.81131,60400.0,KEP
1930 YE,2.2349705,0.20837889999999998,5.98697,97.763,259.0643,51.32154,60400.0,KEP
1931 TN,3.1411074,0.12111659999999999,6.68226,126.81469,272.2944,222.77178,60400.0,KEP
1931 TZ1,2.7839837,0.1501429,8.41507,321.38719,4.23409,3.79418,60400.0,KEP
1932 PF,2.394361,0.1612331,5.40062,296.46174,48.89634,257.96751,60400.0,KEP
1932 WC,2.2292247,0.1140858,4.39436,327.04429,244.92655,23.56361,60400.0,KEP
1932 WG,2.679512,0.1677159,12.8574,188.42199,198.11943,321.58776,60400.0,KEP
1933 BA,3.1774753,0.0911511,23.28171,114.31422,338.5069,78.14132,60400.0,KEP
1933 HA,2.6997305,0.2390988,6.9815700000000005,246.94186,47.33643,127.95087,60400.0,KEP
1933 LA,2.4050618,0.2634286,10.8582,90.24244,238.67865,80.96976,60400.0,KEP
1933 LB,2.3695654,0.2112146,5.72327,335.40199,297.48984,311.64729,60400.0,KEP
1933 QB,3.4137561,0.0431624,6.42601,292.5372,90.57145,84.85426,60400.0,KEP
1933 QJ,2.5582036,0.2077094,7.4447,210.06598,73.01181,90.87874,60400.0,KEP
1933 QM1,3.1188557,0.12006839999999999,18.02618,324.23617,77.96789,94.67862,60400.0,KEP
1925 SC,3.181737,0.2221273,8.90551,157.67505,234.29841,42.553490000000004,60400.0,KEP
1933 OP,2.643787,0.17261089999999998,10.88817,302.69067,115.43385,313.53529,60400.0,KEP
1933 QF,2.9924538,0.048826299999999996,5.68978,317.81492,69.1685,138.2623,60400.0,KEP
